id;generation;life;strength;speed;cDamage
1712;764;118;996;882;993
2919;765;127;1000;873;985
3594;766;118;1000;882;994
1212;767;127;1000;873;988
346;768;118;1000;882;997
605;769;109;1000;891;1000
3348;770;116;1000;884;1000
161;771;107;1000;893;1000
1340;772;116;1000;884;1000
181;773;107;1000;893;1000
1665;774;114;1000;886;991
2597;775;123;1000;877;990
645;776;114;1000;886;999
364;777;121;1000;879;999
395;778;112;1000;888;1000
325;779;120;1000;880;995
2534;780;129;1000;871;991
3672;781;120;1000;880;1000
2185;782;129;1000;871;1000
2873;783;120;1000;880;1000
2866;784;111;1000;889;1000
3633;785;120;1000;880;1000
2774;786;111;1000;889;1000
2106;787;120;1000;880;996
1289;788;111;1000;889;1000
733;789;120;1000;880;995
2306;790;128;1000;872;990
3607;791;119;1000;881;999
1200;792;128;1000;872;1000
3924;793;119;1000;881;1000
201;794;110;1000;890;1000
3860;795;116;1000;884;999
2534;796;107;1000;893;1000
2019;797;115;1000;885;1000
2444;798;106;1000;894;1000
1885;799;113;1000;887;996
1594;800;121;1000;879;996
3491;801;112;1000;888;1000
3791;802;121;996;879;1000
2550;803;112;1000;888;1000
1515;804;120;1000;880;1000
3557;805;129;1000;871;1000
3048;806;120;1000;880;1000
4066;807;111;1000;889;1000
866;808;118;1000;882;1000
703;809;125;1000;875;993
1939;810;116;1000;884;1000
1810;811;125;1000;875;1000
2644;812;116;1000;884;1000
2819;813;124;1000;876;997
265;814;115;1000;885;1000
2507;815;124;1000;876;1000
2702;816;115;1000;885;1000
1368;817;106;1000;894;1000
1358;818;115;1000;885;1000
1774;819;124;1000;876;1000
2017;820;115;1000;885;1000
1285;821;106;1000;894;1000
2651;822;115;1000;885;1000
3846;823;124;1000;876;1000
3420;824;115;1000;885;1000
686;825;106;1000;894;1000
1068;826;113;1000;887;1000
3181;827;104;1000;896;1000
2825;828;112;1000;888;993
835;829;103;1000;897;1000
2527;830;112;1000;888;991
1046;831;120;1000;880;983
2423;832;129;1000;871;980
1379;833;120;1000;880;989
3803;834;129;1000;871;990
3881;835;120;1000;880;999
1224;836;111;1000;889;1000
3219;837;118;1000;882;1000
3522;838;109;1000;891;1000
1441;839;118;1000;882;1000
2648;840;109;1000;891;1000
2585;841;115;1000;885;1000
2028;842;122;1000;878;993
1784;843;113;1000;887;1000
1974;844;122;1000;878;998
3210;845;113;1000;887;1000
2105;846;121;1000;879;996
432;847;112;1000;888;1000
1605;848;103;1000;897;1000
3819;849;111;1000;889;1000
868;850;119;1000;881;1000
955;851;110;1000;890;1000
2077;852;119;1000;881;1000
415;853;110;1000;890;1000
1251;854;119;995;881;1000
982;855;110;1000;890;1000
51;856;119;1000;881;1000
727;857;128;997;872;1000
2396;858;119;1000;881;1000
822;859;128;1000;872;1000
1753;860;119;1000;881;1000
3331;861;110;1000;890;1000
378;862;119;1000;881;1000
1761;863;110;1000;890;1000
3500;864;119;1000;881;1000
3365;865;128;1000;872;997
2049;866;119;1000;881;1000
3370;867;110;1000;890;1000
